Student_ID,Name,Gender,Year,Department
2023CS003,Colleen Taylor,Other,TE,IT
2023CS008,Robert Dunn,Male,FE,IT
2023CS009,Jennifer Summers,Other,FE,CS
2023CS010,Johnny Dillon,Other,BE,CS
2023CS013,Sheri Bolton DDS,Male,BE,CS
2023CS017,Roberto Johnson,Male,FE,IT
2023CS018,Brandon Todd,Male,TE,IT
2023CS021,Stephanie Lawrence,Male,FE,CS
2023CS025,Robert Cook,Male,BE,CS
2023CS026,Charles Wolfe,Other,FE,CS
2023CS030,Wesley Robbins,Other,TE,CS
2023CS031,Amy Shelton,Male,FE,CS
2023CS040,Matthew Hernandez,Other,BE,CS
2023CS045,Kristopher Hale,Female,BE,CS
2023CS050,April Williams,Other,TE,CS
2023CS053,Mrs. Meghan Stewart,Other,BE,IT
2023CS057,Alison Sloan,Other,BE,IT
2023CS062,Michelle Orr,Female,SE,IT
2023CS064,Chris Cook,Female,TE,IT
2023CS068,Scott Chandler,Other,SE,IT
2023CS071,Michael Simmons,Male,BE,CS
2023CS075,Donna Mora,Male,TE,CS
2023CS077,Carol Lee,Female,FE,CS
2023CS080,Yolanda Salinas,Male,TE,CS
2023CS081,Jimmy Ward,Female,FE,CS
2023CS091,Kathy Santana,Female,TE,CS
2023CS095,Sarah Yates,Female,BE,CS
2023CS100,Megan Hernandez,Female,SE,CS
2023CS106,Michelle Phillips,Female,FE,CS
2023CS112,Ricardo Wilkerson,Other,SE,CS
2023CS114,Keith Livingston,Other,SE,CS
2023CS116,Jessica Butler,Male,TE,CS
2023CS117,Angela Jones,Male,SE,CS
2023CS121,Alexander Jacobs,Female,FE,CS
2023CS132,Stephanie Alexander,Male,BE,CS
2023CS135,Cathy Fisher,Female,SE,CS
2023CS138,Joann Murray,Female,BE,CS
2023CS140,Paul Davis,Male,FE,CS
2023CS142,Michael Smith,Male,BE,CS
2023CS151,Kevin Taylor,Other,FE,CS
2023CS154,Patrick Williams,Male,SE,CS
2023CS165,Bradley Lopez,Other,FE,CS
2023CS166,Crystal Evans,Male,SE,CS
2023CS168,Anthony Terry,Female,TE,CS
2023CS173,Jody Morgan,Female,BE,CS
2023CS179,Jon Kim,Female,SE,CS
2023CS183,Christopher Burns,Male,BE,CS
2023CS184,Emma Graham,Female,FE,CS
2023CS196,Patricia Hudson,Female,SE,CS
2023CS199,Allison Carlson,Male,BE,CS
2023CS201,Rhonda Mclaughlin,Male,SE,CS
2023CS218,Mark Mckinney,Male,TE,CS
2023CS219,Gerald Rojas,Female,FE,CS
2023CS222,Robert Blackburn,Female,BE,CS
2023CS223,Donna Harrison,Male,FE,CS
2023CS227,Donna Parks,Other,FE,CS
2023CS229,William Ballard,Female,BE,CS
2023CS231,Stephanie Rivera,Female,SE,CS
2023CS234,Christopher Kramer,Other,SE,CS
2023CS238,Amy Fowler,Female,SE,CS
2023CS252,Stephen Ayala,Male,TE,CS
2023CS259,Kaitlin Edwards,Male,SE,CS
2023CS262,Carla Orozco,Female,BE,CS
2023CS272,Amy Miller,Male,BE,CS
2023CS275,Evan Johnson,Female,FE,CS
2023CS277,Eric Price,Female,TE,CS
2023CS279,Jeremiah Munoz,Female,TE,CS
2023CS288,Donna Johnson,Other,SE,CS
2023CS289,Joshua Thomas,Other,TE,CS
2023CS291,Karen Barron,Female,BE,CS
2023CS292,David Campbell,Other,SE,CS
2023CS293,Christopher Fisher,Male,FE,CS
2023CS304,Levi Dillon,Male,TE,CS
2023CS305,Shawn Williams,Male,FE,CS
2023CS307,Michelle Munoz,Other,FE,CS
2023CS312,Andrew Arnold,Other,BE,CS
2023CS317,Joseph Fuentes,Female,TE,CS
2023CS321,Spencer Riddle,Female,SE,CS
2023CS323,Brittany Smith,Other,SE,CS
2023CS330,Katie Blackwell,Other,SE,CS
2023CS333,James Mcclure,Other,FE,CS
2023CS334,Tanya Miller,Other,TE,CS
2023CS338,Sandra Thomas,Male,TE,CS
2023CS339,Keith Ortiz,Other,FE,CS
2023CS343,Michael Velazquez MD,Other,SE,CS
2023CS344,Melissa Allen,Male,SE,CS
2023CS346,Eric Henderson,Female,SE,CS
2023CS349,Carl Osborne,Other,TE,CS
2023CS358,Jessica Williams,Female,TE,CS
2023CS363,Lisa Perry,Other,BE,CS
2023CS365,James Cannon,Other,SE,CS
2023CS370,Jonathan Hansen,Female,BE,CS
2023CS374,Dr. Alexander Cummings,Female,SE,CS
2023CS376,John Perez,Male,SE,CS
2023CS377,Linda Noble,Female,FE,CS
2023CS379,Anthony Cooper,Female,TE,CS
2023CS381,Corey Myers,Other,FE,CS
2023CS382,Melanie Meyer,Female,FE,CS
2023CS384,Mark Williamson,Male,TE,CS
2023CS387,Chad Ramos,Other,SE,CS
2023CS388,Michael Atkins,Male,FE,CS
2023CS390,Michael Martin,Female,FE,CS
2023CS407,Jeffrey Johnson,Male,FE,CS
2023CS412,Tina Chang,Male,BE,CS
2023CS413,Benjamin Duarte,Male,BE,CS
2023CS422,Kayla Reed,Male,FE,CS
2023CS429,Jennifer Aguilar,Other,TE,CS
2023CS432,David Parker,Other,BE,CS
2023CS439,Michele Moore,Male,FE,CS
2023CS441,Patricia Lindsey,Other,BE,CS
2023CS455,Lindsey Foster,Other,SE,CS
2023CS461,Judy Jones,Male,FE,CS
2023CS462,David Bauer,Female,BE,CS
2023CS467,Anita Reynolds,Male,SE,CS
2023CS472,Steven Johnson,Other,SE,CS
2023CS473,Kathryn Barnes,Other,SE,CS
2023CS484,Richard Olson,Female,BE,CS
2023CS486,Courtney Clark,Female,FE,CS
2023CS489,Russell Johns,Male,TE,CS
2023CS492,Mark Williams,Male,BE,CS
2023CS493,Margaret Moore,Other,BE,CS
2023CS495,Erin Potter,Male,FE,CS
2023CS496,Jerry Fleming,Female,SE,CS
2023CS499,James Baxter,Other,FE,CS
2023CS500,Briana Johnson,Female,TE,CS
2023ENTC002,Dr. Ronald Faulkner,Other,FE,ENTC
2023ENTC012,Brenda Daniels,Other,FE,ENTC
2023ENTC016,Robert Stewart,Female,SE,ENTC
2023ENTC019,Sarah Villanueva,Male,SE,ENTC
2023ENTC027,Taylor Guzman,Male,TE,ENTC
2023ENTC033,Jeffrey Brown,Other,BE,ENTC
2023ENTC036,Christina Saunders,Other,SE,ENTC
2023ENTC039,Shelly Lowery,Female,SE,ENTC
2023ENTC043,Leslie Mcclain,Other,BE,ENTC
2023ENTC051,Amber Carson,Other,BE,ENTC
2023ENTC058,Brandi Meyer,Male,FE,ENTC
2023ENTC060,Michael Grant,Other,FE,ENTC
2023ENTC065,Gina Oliver,Female,SE,ENTC
2023ENTC067,Brian Cross,Male,SE,ENTC
2023ENTC073,William Fowler,Female,FE,ENTC
2023ENTC076,Claudia Miller,Male,FE,ENTC
2023ENTC079,Christina Crawford,Other,TE,ENTC
2023ENTC083,Jenny Boyd,Other,BE,ENTC
2023ENTC086,Amanda Hernandez,Female,FE,ENTC
2023ENTC089,Andrew Smith,Female,TE,ENTC
2023ENTC093,Nicole Bullock MD,Other,FE,ENTC
2023ENTC097,Dennis Bryan DDS,Female,FE,ENTC
2023ENTC099,Andrew Butler,Male,TE,ENTC
2023ENTC118,Gregory Smith,Other,FE,ENTC
2023ENTC122,Brian Cooper,Male,SE,ENTC
2023ENTC129,Jason House,Other,SE,ENTC
2023ENTC145,Benjamin Baker,Female,TE,ENTC
2023ENTC149,Richard French,Other,BE,ENTC
2023ENTC157,Isaiah Wilson,Female,FE,ENTC
2023ENTC169,Tara Villa,Male,TE,ENTC
2023ENTC171,Aaron Pena,Male,BE,ENTC
2023ENTC177,Elizabeth Black,Female,TE,ENTC
2023ENTC185,Rachel Dawson,Other,BE,ENTC
2023ENTC189,Kaylee Trevino,Female,TE,ENTC
2023ENTC191,Michele Guerrero,Male,TE,ENTC
2023ENTC192,Eric Murphy,Male,SE,ENTC
2023ENTC197,Carlos Hall,Female,TE,ENTC
2023ENTC200,Tyler Peters,Other,FE,ENTC
2023ENTC202,Angela Taylor,Male,TE,ENTC
2023ENTC205,Mary Perez,Male,BE,ENTC
2023ENTC210,Charles Collins,Other,SE,ENTC
2023ENTC211,Rachel Ortiz,Female,FE,ENTC
2023ENTC214,Jonathan Howell,Female,SE,ENTC
2023ENTC220,Stacy Crawford,Female,FE,ENTC
2023ENTC228,Jasmin Flowers,Male,SE,ENTC
2023ENTC232,Amber Moore,Other,TE,ENTC
2023ENTC235,Glenn Smith,Female,BE,ENTC
2023ENTC237,Joshua Coleman,Other,SE,ENTC
2023ENTC241,Kimberly Spencer,Female,SE,ENTC
2023ENTC243,Matthew Bradshaw,Other,TE,ENTC
2023ENTC247,Kathleen Simon,Other,TE,ENTC
2023ENTC250,Rita Garcia,Other,BE,ENTC
2023ENTC251,Austin Simmons,Other,SE,ENTC
2023ENTC254,Jasmine Rowe,Male,TE,ENTC
2023ENTC256,Beth Page,Male,FE,ENTC
2023ENTC260,Taylor Joyce,Male,TE,ENTC
2023ENTC261,Michael Larson,Other,FE,ENTC
2023ENTC263,Michelle Cummings,Male,FE,ENTC
2023ENTC265,Haley Willis,Male,SE,ENTC
2023ENTC266,Robin Harris,Male,SE,ENTC
2023ENTC268,Mrs. Stephanie Tran MD,Female,BE,ENTC
2023ENTC270,Richard Carr,Male,TE,ENTC
2023ENTC273,Reginald Garcia,Male,SE,ENTC
